,Unnamed: 0,Date,Location,Confirmed,Cases per 1 million people,Recovered,Deaths
0,0,2020-05-08,Worldwide,3845607,495,1282930,269564
1,1,2020-05-08,United States,1289235,3912,174697,76537
2,2,2020-05-08,Spain,221447,4702,128511,26070
3,3,2020-05-08,Italy,215858,3583,96276,29958
4,4,2020-05-08,United Kingdom,206715,3112,0,30615
5,5,2020-05-08,Russia,187859,1280,26608,1723
6,6,2020-05-08,Germany,169430,2038,135918,7392
7,7,2020-05-08,France,137779,2054,55027,25897
8,8,2020-05-08,Brazil,135773,642,55350,9190
9,9,2020-05-08,Turkey,133721,1608,82984,3641
10,10,2020-05-08,Iran,103135,1238,82744,6486
11,11,2020-05-08,China,82886,59,77993,4633
12,12,2020-05-08,Canada,64922,1709,29247,4408
13,13,2020-05-08,Peru,58526,1821,18388,1627
14,14,2020-05-08,India,56342,41,16540,1886
15,15,2020-05-08,Belgium,51420,4462,12980,8415
16,16,2020-05-08,Netherlands,41774,2394,0,5288
17,17,2020-05-08,Saudi Arabia,33731,986,7798,219
18,18,2020-05-08,Ecuador,30298,1736,3433,1654
19,19,2020-05-08,Switzerland,30126,3509,25900,1518
20,20,2020-05-08,Mexico,29616,234,17781,2961
21,21,2020-05-08,Portugal,26715,2600,2258,1105
22,22,2020-05-08,Pakistan,25837,118,7530,594
23,23,2020-05-08,Sweden,24623,2383,4074,3040
24,24,2020-05-08,Chile,24581,1286,11664,285
25,25,2020-05-08,Ireland,22385,4548,13386,1403
26,26,2020-05-08,Singapore,21707,3806,1712,20
27,27,2020-05-08,Belarus,20168,2142,5067,116
28,28,2020-05-08,Qatar,18890,6876,2286,12
29,29,2020-05-08,Israel,16381,1784,10873,240
30,30,2020-05-08,United Arab Emirates,16240,1642,3572,165
31,31,2020-05-08,Austria,15673,1760,13698,609
32,32,2020-05-08,Japan,15575,124,5146,590
33,33,2020-05-08,Poland,15047,392,4862,755
34,34,2020-05-08,Romania,14499,747,6144,876
35,35,2020-05-08,Ukraine,14195,339,2706,361
36,36,2020-05-08,Indonesia,13112,49,2494,943
37,37,2020-05-08,Bangladesh,12425,74,1910,199
38,38,2020-05-08,South Korea,10822,209,9484,256
39,39,2020-05-08,Philippines,10343,95,1618,685
40,40,2020-05-08,Denmark,10083,1732,7711,514
41,41,2020-05-08,Serbia,9848,1414,2160,206
42,42,2020-05-08,Dominican Republic,9095,878,2064,373
43,43,2020-05-08,Colombia,8959,181,2148,397
44,44,2020-05-08,South Africa,8232,140,3153,161
45,45,2020-05-08,Czechia,8034,751,4372,270
46,46,2020-05-08,Norway,8034,1497,7114,217
47,47,2020-05-08,Egypt,7981,80,1887,482
48,48,2020-05-08,Panama,7868,1865,886,225
49,49,2020-05-08,Australia,6833,266,6035,93
50,50,2020-05-08,Kuwait,6567,1486,2381,44
51,51,2020-05-08,Malaysia,6535,200,4864,107
52,52,2020-05-08,Finland,5673,1026,3500,255
53,53,2020-05-08,Morocco,5548,155,2179,183
54,54,2020-05-08,Argentina,5358,119,1588,282
55,55,2020-05-08,Algeria,5182,121,2323,483
56,56,2020-05-08,Kazakhstan,4753,255,1582,31
57,57,2020-05-08,Moldova,4605,1717,1747,145
58,58,2020-05-08,Bahrain,4199,2721,2000,8
59,59,2020-05-08,Luxembourg,3859,6286,3505,100
60,60,2020-05-08,Afghanistan,3563,111,468,106
61,61,2020-05-08,Nigeria,3526,17,601,107
62,62,2020-05-08,Hungary,3178,325,865,392
63,63,2020-05-08,Armenia,3128,1058,1218,53
64,64,2020-05-08,Ghana,3091,102,303,18
65,65,2020-05-08,Thailand,3000,45,2784,55
66,66,2020-05-08,Oman,2958,634,960,15
67,67,2020-05-08,Greece,2678,250,1374,148
68,68,2020-05-08,Iraq,2543,65,1626,102
69,69,2020-05-08,Uzbekistan,2298,67,1656,10
70,70,2020-05-08,Cameroon,2267,85,1221,108
71,71,2020-05-08,Azerbaijan,2204,219,1551,28
72,72,2020-05-08,Croatia,2125,521,1641,86
73,73,2020-05-08,Bolivia,2081,181,219,102
74,74,2020-05-08,Bosnia and Herzegovina,2027,614,954,90
75,75,2020-05-08,Guinea,1927,158,629,11
76,76,2020-05-08,Bulgaria,1865,266,401,84
77,77,2020-05-08,Iceland,1801,4944,1755,10
78,78,2020-05-08,Cuba,1729,154,1031,73
79,79,2020-05-08,Estonia,1725,1299,273,56
80,80,2020-05-08,Honduras,1685,184,154,105
81,81,2020-05-08,North Macedonia,1572,757,1079,89
82,82,2020-05-08,Côte d'Ivoire,1571,61,742,20
83,83,2020-05-08,Senegal,1492,92,562,13
84,84,2020-05-08,New Zealand,1490,299,1347,21
85,85,2020-05-08,Slovakia,1455,267,905,26
86,86,2020-05-08,Slovenia,1449,692,247,99
87,87,2020-05-08,Lithuania,1436,514,765,49
88,88,2020-05-08,Djibouti,1133,1051,799,3
89,89,2020-05-08,Hong Kong,1045,139,944,4
90,90,2020-05-08,Tunisia,1026,88,600,44
91,91,2020-05-08,Sudan,930,22,92,52
