,id,created_at,text
0,1258710079722799106,2020-05-08 10:47:23+00:00,covid19 
1,1258710079676784641,2020-05-08 10:47:23+00:00,kamengamerretro anxiety4dayz rspurs1980 danaschwartzzz i’d also like to point out that the current health cri… 
2,1258710079148298241,2020-05-08 10:47:23+00:00,"tanga tanga has ensured that
rutocares is trending at number one
please ensure you reprimand your guy for
lying… "
3,1258710076271005696,2020-05-08 10:47:22+00:00,here are some key recommendations towards a disability inclusive covid19 response by the international disability… 
4,1258710075184566273,2020-05-08 10:47:22+00:00,"short story here
so like a week before mco officially starts when theres already cases confirmed but classes were… "
5,1258710074656083973,2020-05-08 10:47:22+00:00,what is the right strategy to limit the spread of covid19  via india new england news
6,1258710071447617541,2020-05-08 10:47:21+00:00,covid19 outbreak declared at st catharines site unit  niagara health news updates amp publications  niagara heal… 
7,1258710069581164545,2020-05-08 10:47:20+00:00,im not anxious about covid im anxious about those who panic anxiety from reactions to covid19 will destroy at… 
8,1258710068964491264,2020-05-08 10:47:20+00:00,covid19 lockdown reduce data prices for nigerians – fayose 
9,1258710068742238209,2020-05-08 10:47:20+00:00,my sisters stranded in andhra pradesh she is student and belongs to rajasthan will govt care to bring back these… 
10,1258710066804506631,2020-05-08 10:47:20+00:00,as dcompany dwises imsimiisis gang spread confidential terrorism by their gang similar way they are going to sp… 
11,1258710065663574018,2020-05-08 10:47:20+00:00,elzmo3008 jamiejo59041136 what is it they don’t understand  all beth rigby wants to do is sunbathe  and after a… 
12,1258710062912229378,2020-05-08 10:47:19+00:00,aaronbastani johngmaca pickardje inflation will be the least of out worries another round of austerity to pay… 
13,1258710061733556230,2020-05-08 10:47:19+00:00,over 80 of qantas workers say airline didn’t do enough to protect them from covid19 
14,1258710060965953537,2020-05-08 10:47:18+00:00,one of trumps personal valets has tested positive for coronavirus   
15,1258710057417572352,2020-05-08 10:47:18+00:00,"covid19nigeria the first phase to get it right is to get a chunk of the population tested

we really are yet to start the journey"
16,1258710054993383425,2020-05-08 10:47:17+00:00,fg directs nafdac to assess herbal mixture as possible covid19 treatment 
17,1258710052640370689,2020-05-08 10:47:16+00:00,fg directs nafdac to assess herbal mixture as possible covid19 treatment 
18,1258710050975051781,2020-05-08 10:47:16+00:00,after launching a hunger strike as covid19 spread 13 women are now being released to their families after being… 
19,1258710049930661888,2020-05-08 10:47:16+00:00,scottish government looking for ideas of how to overcome the challenges of covid19 
20,1258710046214520832,2020-05-08 10:47:15+00:00,indian railways is playing vital role in this pendamic situation of covid19 railways has run 222 shramik special… 
21,1258710043987410945,2020-05-08 10:47:14+00:00,ok twitterfolk i am working on a symposium for unionconference on digitalisation data and humanrights any sugg… 
22,1258710042284560385,2020-05-08 10:47:14+00:00,"wfp wfpasiapacific plz
need food also in poor kashmir on hard days of covid19 
"
23,1258710042183741446,2020-05-08 10:47:14+00:00,"this is our commitment to strengthening our country’s fight against covid19 
sabforsa 
fightcovid19 "
24,1258710040162103298,2020-05-08 10:47:13+00:00,kimkardashian and kanyewest are reportedly staying at opposite ends of the house amid covid19crisis… 
25,1258710038824140800,2020-05-08 10:47:13+00:00,"first time it seems rahulgandhi is communicating better abt covid19
but it seems that his underlying assumption… "
26,1258710036613722113,2020-05-08 10:47:13+00:00,forget the silliness w toilet paper folks so serious is apparent threat to supply of burgers bacon amp chicken win… 
27,1258710034785210368,2020-05-08 10:47:12+00:00,"various tests can be done to confirm covid19 infection
1 molecular tests  identify genetic material
2 communit… "
28,1258710030632669191,2020-05-08 10:47:11+00:00,faq what is the treatment for covid19 
29,1258710027168362497,2020-05-08 10:47:10+00:00,57 more deaths and 1977 new confirmed cases of covid19 reported turkey health epidemic  
30,1258710025406607360,2020-05-08 10:47:10+00:00,rapscallianna 1958bestyear im in the process of finding the perfect get well card for covid19 right now any… 
31,1258710022973947904,2020-05-08 10:47:09+00:00,coronavirus australias first covid19 vaccine trials to begin  nvax
32,1258710021728239617,2020-05-08 10:47:09+00:00,remdesivir doesn’t cure covid19 but it may help some critical patients its distribution and access need to be fa… 
33,1258710019484168192,2020-05-08 10:47:09+00:00,the study can help ascertain whether there has been community transmission of the respiratory disease in those area… 
34,1258710018309971969,2020-05-08 10:47:08+00:00,"taiwanmodel for combating covid19
"
35,1258710017928237056,2020-05-08 10:47:08+00:00,fjpf organize a live instagram session to raise awareness about the disease lupus and its relation to covid19 on w… 
36,1258710017047433217,2020-05-08 10:47:08+00:00,with the national failures exposed by the covid19 crisis i think now more than ever that it’s immoral and prepost… 
37,1258710016300892160,2020-05-08 10:47:08+00:00,“no races waaaaaaah” was my answer to covid19 affecting my training 
38,1258710015839547393,2020-05-08 10:47:08+00:00,the virtual doctor for coronavirus covid19 you can talk to us about the symptoms you feel and we will get back t… 
39,1258710011833958400,2020-05-08 10:47:07+00:00,incoming college freshmen might delay school due to covid19 
40,1258710010756042752,2020-05-08 10:47:06+00:00,elsie88981066 miriamidemetor news24 do you think if it was normal fluwe will be under lockdown right now covid… 
41,1258710010571436032,2020-05-08 10:47:06+00:00,lolthe only fight we can fight now is against covid19 oh wike for president sha 
42,1258710006427529217,2020-05-08 10:47:05+00:00,a coronavirus cloud hangs over fall college plans oncampus at home in limbo 
43,1258710004036538370,2020-05-08 10:47:05+00:00,ministers told to dismiss interviews about covid19 documents leaked memo 
44,1258710004019998720,2020-05-08 10:47:05+00:00,"corona update 

president cyril ramaphosa has authorized the placement on parole of selected categories of sentenc… "
45,1258710003848011782,2020-05-08 10:47:05+00:00,ramaphosa authorises parole for 19000 inmates to combat covid19 
