,Date,Location,Confirmed,Cases per 1 million people,Recovered,Deaths
0,2020-05-08,Worldwide,3845607,495,1282930,269564
1,2020-05-08,United States,1289235,3912,174697,76537
2,2020-05-08,Spain,221447,4702,128511,26070
3,2020-05-08,Italy,215858,3583,96276,29958
4,2020-05-08,United Kingdom,206715,3112,—,30615
5,2020-05-08,Russia,187859,1280,26608,1723
6,2020-05-08,Germany,169430,2038,135918,7392
7,2020-05-08,France,137779,2054,55027,25897
8,2020-05-08,Brazil,135773,642,55350,9190
9,2020-05-08,Turkey,133721,1608,82984,3641
10,2020-05-08,Iran,103135,1238,82744,6486
11,2020-05-08,China,82886,59,77993,4633
12,2020-05-08,Canada,64922,1709,29247,4408
13,2020-05-08,Peru,58526,1821,18388,1627
14,2020-05-08,India,56342,41,16540,1886
15,2020-05-08,Belgium,51420,4462,12980,8415
16,2020-05-08,Netherlands,41774,2394,—,5288
17,2020-05-08,Saudi Arabia,33731,986,7798,219
18,2020-05-08,Ecuador,30298,1736,3433,1654
19,2020-05-08,Switzerland,30126,3509,25900,1518
20,2020-05-08,Mexico,29616,234,17781,2961
21,2020-05-08,Portugal,26715,2600,2258,1105
22,2020-05-08,Pakistan,25837,118,7530,594
23,2020-05-08,Sweden,24623,2383,4074,3040
24,2020-05-08,Chile,24581,1286,11664,285
25,2020-05-08,Ireland,22385,4548,13386,1403
26,2020-05-08,Singapore,21707,3806,1712,20
27,2020-05-08,Belarus,20168,2142,5067,116
28,2020-05-08,Qatar,18890,6876,2286,12
29,2020-05-08,Israel,16381,1784,10873,240
30,2020-05-08,United Arab Emirates,16240,1642,3572,165
31,2020-05-08,Austria,15673,1760,13698,609
32,2020-05-08,Japan,15575,124,5146,590
33,2020-05-08,Poland,15047,392,4862,755
34,2020-05-08,Romania,14499,747,6144,876
35,2020-05-08,Ukraine,14195,339,2706,361
36,2020-05-08,Indonesia,13112,49,2494,943
37,2020-05-08,Bangladesh,12425,74,1910,199
38,2020-05-08,South Korea,10822,209,9484,256
39,2020-05-08,Philippines,10343,95,1618,685
40,2020-05-08,Denmark,10083,1732,7711,514
41,2020-05-08,Serbia,9848,1414,2160,206
42,2020-05-08,Dominican Republic,9095,878,2064,373
43,2020-05-08,Colombia,8959,181,2148,397
