,id,created_at,text
0,1247893254906892294,2020-04-08 14:25:11+00:00,covid19 president punishes minister for violating lockdown regulations  
1,1247893254441328642,2020-04-08 14:25:11+00:00,coronavirus update make all covid19 tests free for citizens suggests supreme court  india news  hindustan times 
2,1247893254403584001,2020-04-08 14:25:11+00:00,covid19 has taken its toll on us  mentally amp financially families with a pediatric cancer diagnosis have to figuã¢â‚¬â¦ 
3,1247893254323879937,2020-04-08 14:25:11+00:00,covid19 does not know a police officer ã¢â‚¬â€œ policewoman on ã¢â‚¬å“quarantineã¢â‚¬ï¿½ says  
4,1247893253480837122,2020-04-08 14:25:11+00:00,mirandacspencer madinamerica fairmediawatch fantastic story thank younidea for a future covid19 media watchã¢â‚¬â¦ 
5,1247893252755218433,2020-04-08 14:25:10+00:00,one strategy in containing the covid19 pandemic is social distancing or avoiding interaction with others althoughã¢â‚¬â¦ 
6,1247893251949858822,2020-04-08 14:25:10+00:00,drjawalsh socialeurope this chart shows the survival rates of covid19 patients in critical caren not receivingã¢â‚¬â¦ 
7,1247893251920543749,2020-04-08 14:25:10+00:00,ã¢â‚¬å“this could give us a chanceã¢â‚¬ï¿½ despite a seriously rocky rollout the 349 billion payroll protection program mayã¢â‚¬â¦ 
8,1247893251916324865,2020-04-08 14:25:10+00:00,i had the real pleasure of interviewing virologist dr angierasmussen for my series of conversations with covid1ã¢â‚¬â¦ 
9,1247893251903729665,2020-04-08 14:25:10+00:00,the intensive care national audit and research centre found that 35 of almost 2000 patients were nonwhite nearlã¢â‚¬â¦ 
10,1247893251694055424,2020-04-08 14:25:10+00:00,a new covid19 crisis domestic abuse rises worldwide 
11,1247893251073302537,2020-04-08 14:25:10+00:00,one of my friends has symptoms of covid19 loss of smell and taste and sheã¢â‚¬â„¢s been sick for the past week called hã¢â‚¬â¦ 
12,1247893251002007557,2020-04-08 14:25:10+00:00,united way amp salesforceorg are empowering people who want to help by offering free access to philanthropycloud tã¢â‚¬â¦ 
